user_id,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20
46,628,2525,1933,1843,837,571,1811,642,917,2635,714,744,141,1076,870,1755,1023,2493,978,3192
47,978,718,2337,2525,837,1169,1537,1811,1609,1500,4294,722,141,1023,2220,51,1538,247,2971,1546
48,51,1509,5430,1537,722,718,978,5438,247,1500,1538,1169,1609,242,1811,1023,7120,5172,2971,243
49,642,2525,2773,2692,5110,2337,1811,5104,837,7125,4430,718,5740,7290,141,628,12733,2813,2635,2880
50,2337,628,837,1933,1843,1811,571,991,917,2635,2365,642,718,141,559,714,744,1076,722,870
51,1307,128,1352,160,129,1302,1128,559,1182,1665,1625,1183,6184,192,1636,1288,1242,2541,1127,978
52,2525,2337,837,642,1811,718,628,141,1843,2635,1933,978,2365,571,722,991,3192,917,1023,2662
53,559,160,529,805,369,4519,1352,176,1302,1292,307,553,129,3092,187,283,296,1594,1128,189
54,128,1302,1292,129,1307,1352,1128,1182,1665,1183,1638,1625,6184,2541,1636,1127,1288,559,6347,3655
55,1352,128,1292,1302,559,160,1128,129,1307,369,1182,194,3092,1183,545,307,1594,6184,4598,1665
56,642,2525,5110,2692,5104,2337,7125,4430,1811,7290,5740,12733,2813,4341,5112,2880,837,2740,13920,9185
57,559,192,529,4519,805,369,3092,176,194,2067,296,1594,5423,307,1553,545,2510,187,309,546
58,160,559,4519,529,194,3092,1553,553,189,1594,187,309,546,5423,1428,305,2510,205,2252,1352
59,559,192,529,369,4519,176,545,307,194,296,553,189,160,2067,208,1594,5423,1553,305,2263
60,29419,37940,29422,9403,33831,9409,9408,18852,31675,3191,9407,38095,32694,9406,23767,9419,17250,37438,31809,9412
61,718,1811,837,160,2337,2525,141,1537,2971,642,283,51,2220,1023,1609,559,3261,4294,722,5452
62,11,3591,8133,3601,48,8906,20951,3604,8931,13,3598,50,8013,13005,10626,11672,8912,30128,13858,19
63,822,722,829,835,718,991,628,1355,571,744,828,155,978,832,1076,827,1628,837,821,642
64,1537,5452,1811,978,2337,2971,1169,837,1609,2525,1500,4294,2220,141,1023,51,722,3549,160,3261
65,2525,718,2337,1811,978,837,722,1500,1537,141,1023,1609,642,559,1538,5430,628,51,4294,2971
66,192,4519,805,369,176,3092,194,307,545,296,2067,1594,187,5423,553,1553,2263,208,305,2510
67,559,192,529,805,369,176,3092,194,307,545,296,2067,1594,5423,187,1553,2263,553,2510,208
68,2337,4818,837,2525,7649,4729,14637,12031,4891,6760,3618,7859,4890,4738,4798,5604,4829,4827,12110,4792
69,2525,559,192,2337,1811,369,837,628,141,805,718,1843,1933,642,2635,571,545,189,2365,991
70,128,1302,1292,1307,129,1352,1128,1182,1638,1665,1183,1625,6184,1636,2541,1288,1127,6347,422,3655
71,2525,642,2337,2692,1811,4430,837,7125,2659,718,7290,5740,12733,2813,4341,2880,2843,2740,9185,1023
72,718,722,837,978,1811,1500,1023,642,141,1537,628,1546,1609,5430,1843,1933,1509,1538,5172,51
73,2525,2337,718,1811,837,722,978,141,805,1537,642,283,1023,1500,160,628,1609,51,1843,1538
74,160,559,718,192,283,1352,4294,2220,1811,1302,1292,51,5430,1546,369,1609,247,722,1023,141
75,2525,628,1933,1843,571,991,917,837,744,2365,2635,1076,870,714,642,821,1755,1811,992,2493
76,160,128,1302,1292,1307,1352,129,2203,10787,5470,1128,10843,5536,5553,10547,1665,10583,1638,1182,1183
77,1500,718,2971,1537,722,2337,978,1609,2525,141,837,1811,1538,51,642,5452,4294,3261,1546,2220
78,128,1292,160,1307,129,1128,1352,1182,1665,1183,1625,6184,1636,2541,1127,1288,3655,6347,422,211
79,128,1302,1292,559,1352,129,1128,805,369,1182,1183,1625,1638,283,6184,4519,1242,1636,1127,2541
80,2337,978,837,718,1811,141,2525,642,1537,3607,1609,2971,722,51,3192,2662,7209,835,1023,3261
81,978,718,1537,1811,1500,2525,4294,1609,1023,722,5452,2337,2220,247,2971,837,51,1546,141,1538
82,128,1302,1292,129,1352,1128,1638,1182,1665,1183,1625,1636,6184,1288,2541,1127,6347,422,184,3655
83,1500,978,718,1537,722,2525,1546,5430,1023,1609,1509,2337,4294,1811,7120,837,51,247,2220,5172
84,369,305,546,1571,176,1553,187,2510,545,553,198,194,2067,805,2263,529,3071,559,307,208
85,2203,10787,1811,10843,160,10547,718,10583,10702,10551,10722,141,10554,10742,9980,6753,10923,2201,10897,11390
86,559,192,160,529,805,4519,369,176,3092,194,545,307,283,1352,296,1594,553,187,128,2067
87,559,192,160,529,128,1302,4519,1292,805,129,1352,1128,176,3092,369,1307,1594,194,2067,309
88,837,2525,978,718,1811,141,3607,3617,642,3192,7209,835,4818,51,2662,283,722,822,2971,1537
89,160,559,1128,296,1183,1127,545,1636,309,1292,194,176,1594,129,1625,546,1638,1352,307,128
90,2525,1650,21461,2773,2337,5110,11584,3607,5104,11600,837,2341,21450,21827,13727,7125,1811,16232,2659,3617
91,1288,1302,1625,128,559,1352,529,1665,1127,1128,192,129,1636,1292,1638,1183,2541,1307,1182,160
92,1500,559,4294,978,1811,2220,283,837,160,141,718,2337,1609,2971,1023,5452,1538,1546,980,247
93,3191,10957,1811,160,837,718,642,978,1217,123,109,10989,10961,2337,141,7525,563,9405,8365,283
94,2337,718,837,1811,978,141,722,1023,642,1537,1500,628,1538,51,2971,1843,2635,4294,283,2220
95,2525,2337,837,1811,978,718,141,642,3607,835,7209,722,3192,2662,2635,628,2971,1537,51,1609
96,1500,978,718,1537,1546,722,1023,247,4294,1609,5430,2525,242,2220,1509,266,1538,1811,7120,51
97,1500,722,978,2525,718,1537,1546,5430,1509,1023,1609,7120,2337,1811,1513,5172,4294,837,247,1538
98,2337,1811,837,628,805,1843,1933,141,571,718,2635,189,545,991,2365,917,642,529,283,176
99,128,1292,129,1307,1352,1302,1128,1182,1638,1665,1183,1625,6184,1636,2541,1127,6347,3655,211,422
100,718,978,2525,1811,2337,837,1537,2971,141,722,1609,1500,1023,4294,51,3549,2220,3261,1538,1546
101,559,529,805,4519,176,545,3092,194,296,187,2067,189,208,1594,5423,305,2263,205,546,2510
102,160,1302,1292,128,1307,1128,129,1352,1182,1665,1183,1625,6184,1636,2541,1288,6347,422,211,184
103,529,1674,2195,1302,1128,1292,128,6347,160,1644,129,1183,2541,1182,5147,1242,1665,1638,422,1321
104,180,237,1182,483,422,337,1122,1189,215,1142,375,229,1127,184,1186,1128,1191,1183,1157,211
105,369,2067,4519,194,176,3092,296,307,529,805,545,192,5423,309,2263,187,198,2252,208,553
106,128,1302,1292,160,1307,129,1128,1352,1182,1638,1665,1183,1625,6184,1636,1127,2541,6347,1288,3655
107,559,160,529,805,369,4519,176,545,307,194,3092,187,296,1594,2067,1553,1352,205,305,546
108,978,718,1537,160,1811,837,2337,1500,1169,4294,1609,51,141,2220,1023,722,2525,2971,247,1546
109,917,642,1933,870,744,2365,821,991,1076,1843,837,571,2635,1755,2525,2337,714,2493,1811,594
110,628,2525,2337,1843,571,991,837,917,1811,2365,744,1076,714,642,870,718,722,1755,141,2493
111,128,293,296,283,129,206,192,309,194,197,205,306,301,204,305,203,325,310,307,176
112,2525,628,2337,1933,1843,837,571,991,917,1811,2635,2365,642,744,714,1076,718,722,870,821
113,1933,628,2337,1843,837,991,1811,718,2635,2365,722,642,714,1076,141,870,821,978,2493,1023
114,128,1302,1292,129,1352,559,192,529,1182,1183,1665,1638,4519,1625,2541,1636,1288,805,3655,6347
115,1500,718,2525,722,978,1537,1546,1023,1509,1609,4294,1811,7120,5172,247,2337,1513,1538,4994,2220
116,2525,628,1843,2337,991,744,1076,2365,837,2635,870,821,642,1811,992,468,2493,594,2396,2679
117,2525,2337,837,3607,1811,1843,141,1933,3617,642,718,571,2635,2365,3192,4818,991,917,7209,835
118,3617,2337,3607,2525,837,7649,4729,12031,14637,4891,4738,4890,4798,7859,5604,4827,12110,4792,4888,4766
119,559,369,805,529,4519,176,545,307,194,3092,187,296,208,160,2067,305,1594,205,1553,5423
120,307,559,2263,160,4519,208,296,2067,194,5423,189,1553,1594,3092,529,2252,309,1428,546,306
121,837,2525,628,991,571,2337,1843,1811,2635,2365,718,744,722,1076,870,821,141,2493,468,992
122,160,1182,129,1128,1638,1665,128,1288,2541,1127,1636,1625,6184,3655,422,184,5147,2195,3501,1674
123,192,4519,559,805,176,3092,194,296,307,2067,545,1594,5423,187,2263,2510,553,309,305,208
124,559,2067,553,4519,805,5423,307,3071,2510,546,208,189,305,309,2263,1553,1428,1571,6624,2252
125,837,141,1023,2773,1811,4430,642,2337,718,2525,978,2692,722,2662,559,5110,2635,1538,3192,283
126,128,160,129,1352,1307,1128,559,1182,529,1183,1665,1638,1625,6184,1636,1127,805,3655,4519,211
127,128,1352,1302,160,1307,129,1128,559,1638,1183,1665,6184,192,1636,2541,1127,1242,978,456,211
128,718,2813,2830,2337,141,2662,2365,2840,628,2736,1023,642,2659,978,2694,2635,2880,2773,2702,1811
129,978,4294,1500,718,1537,242,2220,1546,1023,275,269,1609,5438,722,243,5430,7427,51,1169,4272
130,978,718,1537,1500,1023,4294,1609,1811,2220,722,247,837,1546,51,160,2525,1538,2971,5430,141
131,189,305,559,194,307,192,176,1571,296,546,198,208,805,187,1428,369,1594,553,309,205
132,978,718,2337,1811,837,160,2525,559,141,192,283,1537,51,2971,1609,722,2220,1023,4294,642
133,978,1500,4294,718,1537,2220,242,1546,1023,1609,269,275,722,1538,5430,160,243,51,1169,1811
134,160,1307,129,1128,1352,1182,1638,1665,1183,1625,6184,1636,2541,1127,1288,6347,3655,422,211,5147
135,2525,2337,837,1811,628,642,3607,718,141,1843,1933,2635,2365,3192,978,722,3617,991,917,4818
136,2525,2337,837,1811,141,718,978,3617,642,3192,628,4785,7209,2635,835,1843,7649,722,2365,2662
137,128,160,1302,129,1352,1182,1638,1665,1183,1625,6184,1636,1127,2541,1288,6347,422,211,184,5147
138,1811,837,642,718,10957,978,6012,160,3261,6010,2971,2662,4673,5991,109,123,10989,4430,283,10961
139,160,1302,1307,129,1128,559,1182,1638,1625,1665,1242,192,456,6184,1636,1288,2541,1127,1236,184
140,3191,10957,5973,109,10989,123,5991,1217,10961,7525,9405,8365,17179,10802,642,837,11329,7482,10965,718
141,2337,837,2525,1811,642,718,628,1843,978,2635,722,571,2365,991,917,3607,1023,714,2662,4430
142,718,2337,3261,1843,642,1811,559,2662,141,722,283,837,2635,1537,3192,2971,192,1538,51,1023
143,718,1811,837,978,2337,141,642,160,1537,722,2971,1023,559,1609,283,51,4294,1500,3261,2662
144,2525,822,2337,628,837,3611,642,4545,978,3192,835,2334,3616,718,3617,1811,4764,3607,3154,141
145,2525,837,628,1811,718,1843,1933,642,141,2635,722,978,2365,991,917,3192,1076,744,821,1023
146,2337,1811,978,837,141,718,642,722,1537,1023,160,2971,1609,51,1538,4294,1500,283,559,3261
147,2525,628,1933,1843,2337,571,991,917,744,837,1076,2365,2635,870,714,821,1755,1811,642,992
148,2525,628,1933,1843,2337,571,991,917,744,1076,870,714,821,2365,2635,837,1755,722,468,992
149,559,192,529,160,805,4519,369,176,3092,194,307,545,1594,296,2067,128,187,1352,553,1553
150,559,192,160,529,805,369,4519,283,176,1352,545,307,194,553,3092,128,187,296,1594,189
151,2337,2525,3607,837,3617,4818,4785,141,1811,4764,7649,3616,3192,642,4820,718,4891,14637,7209,12031
152,11,3591,4684,8133,3601,8906,48,31,20951,3604,4685,8931,13,36,50,10626,13005,11672,8912,30128
153,2525,2337,1933,1843,571,991,837,917,2635,2365,744,1811,1076,714,870,821,1755,642,722,718
154,559,192,529,4519,805,369,176,3092,194,2067,296,1594,307,545,5423,1553,2263,187,309,2510
155,1500,722,1537,1546,5430,1509,2525,978,718,1023,7120,1513,1609,5172,4994,4294,247,258,2337,1493
156,128,1302,1292,1307,160,129,1128,1352,1182,1665,1638,1183,1625,6184,2541,1127,1288,6347,3655,422
157,559,192,529,4519,805,3092,176,369,1594,2067,194,296,5423,2263,1553,309,307,2510,546,6624
158,10957,6012,1215,4673,6010,109,123,10989,10961,7525,4674,9405,8365,642,17179,1811,10802,978,563,837
159,2525,628,571,991,917,2337,744,1076,870,714,2365,1755,2635,837,468,992,642,722,594,2493
160,160,129,559,128,192,529,1128,1307,805,4519,369,1183,3092,194,6184,1625,1665,4598,307,1638
161,4430,642,2525,5112,1811,2337,7021,2773,837,7064,141,718,5110,4429,2692,6537,3400,7012,1023,5114
162,10957,6012,837,1811,5973,642,718,1217,4673,2337,109,1215,6010,5991,123,10989,10961,7525,4674,160
163,559,160,128,978,192,805,369,1128,529,718,283,1811,1242,1236,176,545,4519,2673,1182,553
164,559,192,529,4519,805,369,176,3092,194,307,545,296,2067,1594,5423,187,1553,2263,553,2510
165,559,192,529,4519,805,369,176,3092,194,1594,307,545,2263,1553,187,2510,546,553,305,6624
166,559,192,529,4519,805,369,176,3092,194,307,545,296,2067,1594,5423,187,1553,2263,553,2510
167,2365,1811,1933,571,2525,1843,837,917,2635,744,642,870,714,1076,141,821,722,2493,468,992
168,128,1302,1292,160,1307,129,1128,1352,1182,1665,1638,1183,1625,6184,2541,1127,1636,1288,6347,3655
169,837,2337,10957,718,642,2525,978,6012,141,4673,10989,10961,3261,7525,2971,4674,9405,563,160,10802
170,266,257,276,243,141,275,242,571,250,269,246,160,247,51,559,274,575,283,258,256
171,194,205,297,128,176,208,203,305,198,200,199,186,277,190,293,283,306,206,201,129
172,1500,722,1537,978,1546,718,5430,2525,1023,7120,1609,5172,4994,4294,247,2337,1463,1811,1493,1502
173,2525,722,1500,718,2337,978,1537,837,1811,1023,1546,1509,1609,141,5172,642,1538,7120,628,51
174,21536,17406,23297,22719,12190,23902,21913,23108,21933,21948,22919,21181,17405,22562,21909,23697,21856,22387,23154,10880
175,19007,8847,7546,19006,21287,6983,19653,9918,19669,25834,19652,9920,19107,17498,19112,23406,19117,19109,20825,20541
176,1128,1183,1638,129,1182,6184,1292,1352,1307,559,1665,160,3655,422,2541,6347,1127,1636,5147,184
177,11,3591,4684,8133,22,31,3604,3601,4685,48,20951,13005,13,50,11672,13858,19,10626,8013,37
178,128,160,1302,1307,1352,1128,1182,1638,1665,1625,6184,1636,2541,1288,1127,6347,422,3655,211,184
179,2525,628,2337,1933,1843,571,837,991,917,2635,1811,2365,744,642,1076,714,870,718,821,1755
180,1352,160,128,978,1128,1638,1665,1183,456,718,1636,559,6184,283,1288,2541,1236,1127,184,211
181,13272,37902,12369,8906,37705,11,10957,18983,48,18,3591,28706,642,8847,12382,13266,3601,36155,31,8133
182,179,229,367,129,221,378,160,441,180,336,184,215,211,127,416,232,456,363,237,128
183,1500,722,1537,978,1546,718,5430,1509,2525,1023,7120,1609,4994,5172,2337,4294,247,1463,1811,258
184,129,160,1352,128,1302,1182,1128,1625,1638,6184,1665,1636,2541,1288,1127,6347,3655,211,184,5147
185,141,3607,837,1811,2337,2525,718,978,3617,642,3192,822,4818,33399,827,2018,2662,2635,2019,1355
186,1292,128,160,1302,129,1128,1182,1665,1183,1625,6184,1636,2541,1127,1288,6347,3655,422,184,5147
187,718,1811,2337,642,821,2365,628,2525,141,1076,978,744,991,1933,2493,870,3192,1843,917,714
188,559,192,529,4519,805,369,176,3092,194,307,545,296,2067,1594,5423,187,1553,2263,553,208
189,306,302,310,205,307,309,160,619,203,529,194,206,293,176,559,305,623,546,372,198
190,978,4658,718,4659,160,1811,29419,837,4661,6012,10957,29422,37940,141,5973,2337,8266,1217,4665,1537
191,2525,628,2337,1933,1843,571,991,917,837,722,642,744,2365,2635,714,1076,870,1811,1755,718
192,642,2525,2337,2692,5110,4430,5104,1811,837,2659,7125,5112,718,141,7290,5740,628,12733,3419,4341
193,2525,2337,559,628,1811,837,1933,1843,718,642,141,2635,917,2365,369,722,714,744,1076,1755
194,2525,2337,837,1811,642,628,722,1843,1933,141,571,2635,978,991,2365,917,714,3192,744,1076
195,128,1292,1302,1307,160,129,1128,1352,1182,1665,1638,1183,6184,1625,2541,1127,1636,6347,1288,3655
196,128,1302,1292,160,1307,129,1128,1352,1182,1638,1665,1625,6184,1636,1127,2541,1288,6347,3655,422
197,160,978,718,1811,283,141,837,1537,1169,192,2337,2220,2971,51,4294,1609,1023,3191,128,5452
198,718,160,1537,1811,2220,1500,1169,1609,51,1023,2971,242,141,837,1538,283,1546,5452,722,5438
199,23297,21536,23108,17406,21520,23697,8849,22719,21948,23902,23350,21181,23341,29541,12190,21913,23348,21933,24419,22919
